userid,movieid,rating
892220,the+emperors+new+clothes+2001,3.0
892129,betty+blue+1986,3.0
883293,close+to+leo+2002,3.0
880499,the+matrix+1999,3.0
876615,cliffhanger+1993,3.0
869125,the+dark+knight+2008,4.0
868032,the+princess+bride+1987,5.0
863825,soup+to+nuts+1930,4.0
861475,shrek+2+2004,4.0
861044,dolphin+tale+2011,3.0
859751,pans+labyrinth+2006,4.0
857824,iron+man+2008,4.0
854331,the+shawshank+redemption+1994,5.0
851506,amlie+2001,4.0
845401,the+shawshank+redemption+1994,4.0
844478,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,3.0
840448,a+close+shave+1995,4.0
839357,raiders+of+the+lost+ark+1981,3.0
833955,pulp+fiction+1994,4.0
826072,inglourious+basterds+2009,4.0
822881,the+shawshank+redemption+1994,5.0
818087,key+largo+1948,4.0
802036,the+longest+day+1962,4.0
800940,the+shawshank+redemption+1994,5.0
799607,princess+mononoke+1997,4.0
799268,summer+palace+2006,3.0
795652,the+matrix+1999,4.0
794417,sweet+land+2005,3.0
786148,the+goodbye+girl+1977,5.0
782061,fight+club+1999,5.0
781572,the+matrix+1999,5.0
778277,the+shawshank+redemption+1994,4.0
776555,blade+runner+1982,3.0
765556,amlie+2001,5.0
763436,footlight+parade+1933,3.0
760251,the+usual+suspects+1995,4.0
760063,the+canal+2014,3.0
758368,it+follows+2015,4.0
755262,the+godfather+1972,5.0
746078,the+lives+of+others+2006,4.0
738851,harry+potter+and+the+half-blood+prince+2009,3.0
735664,the+pawnbroker+1965,3.0
735604,sydney+white+2007,5.0
735386,the+executor+1981,4.0
732811,southland+tales+2006,3.0
729316,the+matrix+1999,4.0
729247,the+matrix+1999,4.0
729004,the+usual+suspects+1995,4.0
727882,the+shawshank+redemption+1994,4.0
722363,the+shawshank+redemption+1994,4.0
720882,rollerball+1975,3.0
719859,fight+club+1999,5.0
718597,toy+story+2+1999,4.0
717500,the+theory+of+everything+2014,4.0
716704,choose+me+1984,4.0
715467,the+shawshank+redemption+1994,5.0
712565,raiders+of+the+lost+ark+1981,4.0
711916,the+shawshank+redemption+1994,5.0
709118,lucky+night+1939,4.0
702751,++++2013,4.0
702562,ratatouille+2007,5.0
700614,soft+toilet+seats+1999,4.0
700289,the+count+of+monte+cristo+2002,4.0
698978,12+angry+men+1957,4.0
698822,the+godfather+1972,4.0
695086,the+incredibles+2004,4.0
682866,breach+2007,4.0
678613,boomerang+1947,3.0
676300,airplane+1980,3.0
676135,shadow+of+the+eagle+2005,4.0
674444,the+godfather+1972,4.0
666740,breaking+and+entering+2011,4.0
665058,12+angry+men+1957,4.0
665004,and+then+there+was+you+2013,3.0
659479,conan+the+barbarian+1982,3.0
657399,the+loss+of+a+teardrop+diamond+2008,4.0
656097,mission+impossible+-+ghost+protocol+2011,4.0
652629,the+shawshank+redemption+1994,4.0
647225,the+softening+of+the+egg+1975,4.0
643517,disneyland+dream+1956,3.0
642324,the+flight+of+the+phoenix+1965,5.0
641333,alamar+2009,5.0
639713,tekkonkinkreet+2006,4.0
638579,sanjuro+1962,5.0
637624,spend+it+all+1971,3.0
636977,the+matrix+1999,4.0
635192,the+shawshank+redemption+1994,4.0
632189,the+mummy+1932,3.0
629485,inglourious+basterds+2009,4.0
626302,avatar+2009,4.0
622713,army+1944,4.0
620415,pillow+talk+1959,4.0
618075,blade+runner+1982,4.0
609529,the+matrix+1999,4.0
607409,white+noise+2+the+light+2007,4.0
605363,the+matrix+1999,4.0
603728,police+story+1985,3.0
599415,the+godfather+1972,4.0
598430,the+usual+suspects+1995,4.0
597515,the+godfather+1972,5.0
596356,mascara+1999,3.0
595988,blade+runner+1982,4.0
594614,life+is+beautiful+1997,4.0
588877,interstellar+2014,3.0
588834,the+jungle+book+1994,4.0
587497,evocateur+the+morton+downey+jr.+movie+2013,4.0
585867,bullets+dont+argue+1964,4.0
579489,the+shawshank+redemption+1994,4.0
573985,the+hobbit+an+unexpected+journey+2012,2.0
564410,cliffords+really+big+movie+2004,3.0
563497,tomorrow_+the+world+1944,3.0
562527,payback+1999,4.0
562263,american+pie+1999,4.0
561750,the+corporation+2003,4.0
560418,spider-man+2+2004,4.0
556999,santa+claus+is+a+stinker+1982,3.0
553390,teenage+dirtbag+2009,3.0
549871,inglourious+basterds+2009,3.0
548749,paranoid+park+2007,4.0
548318,the+matrix+1999,4.0
547058,the+shawshank+redemption+1994,5.0
541686,magic+in+the+water+1995,4.0
539255,the+shawshank+redemption+1994,5.0
537755,the+princess+bride+1987,4.0
536923,harry+potter+and+the+deathly+hallows+part+2+2011,3.0
531458,tale+of+tales+1979,4.0
527150,street+fight+2005,3.0
522166,the+corridor+2012,2.0
521630,the+shawshank+redemption+1994,4.0
514920,the+cold+light+of+day+1996,3.0
514674,recess+schools+out+2001,4.0
512206,the+shawshank+redemption+1994,4.0
511330,q++a+1990,3.0
511185,standing+aside_+watching+2013,3.0
509231,the+shawshank+redemption+1994,4.0
504822,vice+2015,3.0
503593,five+broken+cameras+2011,4.0
499813,post+mortem+2010,3.0
496831,aliens+1986,4.0
494244,the+imitation+game+2014,4.0
491102,the+shawshank+redemption+1994,4.0
490950,bombardier+1943,3.0
487334,the+lord+of+the+rings+the+return+of+the+king+2003,5.0
487270,oldboy+2003,4.0
482404,endurance+1999,3.0
481943,westward+ho+1935,3.0
479844,being+flynn+2012,5.0
478660,kummeli+v+2014,4.0
