id,original_language,genres,country,vote_average
nobody+else+but+you+2011,en,35,FR,5.9
alien+1992,en,878,GB,6.2
warlock+1989,en,12,US,5.8
k-11+2013,en,18,US,4.3
knuckle+2011,en,99,,5.1
the+imaginarium+of+doctor+parnassus+2009,en,12,CA,6.3
the+immortals+1995,en,28,US,7.8
kinatay+2009,tl,53,FR,5.8
the+suspicious+death+of+a+minor+1975,it,80,IT,6.5
old+school+2003,en,35,US,6.6
the+young+master+1980,en,28,HK,7.0
evil+aliens+2006,en,35,GB,6.1
sons+of+perdition+2010,en,99,,6.6
lunacy+2005,cs,27,CZ,6.7
percy+jackson+sea+of+monsters+2013,en,12,US,5.9
the+element+of+crime+1984,en,80,DK,6.7
in+the+name+of+the+law+1949,it,80,IT,7.0
silverado+1985,en,28,US,7.1
shag+1989,en,35,GB,5.9
a+map+for+saturday+2007,en,99,,7.2
happy+end+2011,en,18,SE,6.2
radiopiratene+2007,en,35,NO,0.0
behind+the+sun+2001,pt,18,BR,6.4
5+fingers+1952,en,18,US,7.2
the+firm+1993,en,18,US,6.6
dancer+in+the+dark+2000,en,18,AR,7.7
the+end+of+love+2013,en,18,,5.8
bravo+two+zero+1999,en,10752,GB,5.3
strange+wilderness+2008,en,35,US,4.7
the+loss+of+a+teardrop+diamond+2008,en,18,US,5.5
the+pianist+2002,en,18,FR,8.1
another+9+12+weeks+1997,en,18,FR,4.4
the+great+match+2006,es,35,ES,7.3
ferpect+crime+2004,es,53,IT,6.7
wer+2013,en,27,RO,5.7
decoy+1946,en,80,US,5.4
h.h.+holmes+americas+first+serial+killer+2004,en,80,US,5.6
elvis+and+me+1988,en,10770,US,3.5
defenders+of+riga+2007,en,28,LV,6.0
across+the+wide+missouri+1951,en,12,US,4.9
the+champ+1931,en,18,US,6.8
jack+the+bear+1993,en,18,US,5.9
benigni+2009,en,,,0.0
3+ring+circus+1954,en,35,US,5.5
one+eight+seven+1997,en,18,US,6.5
a+hatful+of+rain+1957,en,18,US,7.3
im+no+angel+1933,en,35,US,6.3
for+whom+the+bell+tolls+1943,en,18,US,6.1
winchester+73+1950,en,37,US,7.5
rabid+grannies+1988,en,27,BE,4.2
the+unsinkable+molly+brown+1964,en,35,US,5.7
the+road+to+hong+kong+1962,en,35,GB,6.0
blade+of+the+ripper+1971,it,27,IT,7.7
the+love+of+the+three+pomegranates+1979,pt,18,PT,0.0
a+handful+of+dust+1988,en,10749,,5.9
monday+night+mayhem+2002,en,18,,3.0
zero+day+2003,en,18,,7.1
tie+me+up+tie+me+down+1989,es,35,ES,7.0
limelight+1952,en,35,US,8.0
cry+of+the+city+1948,en,80,US,6.1
the+odd+couple+1968,en,35,US,7.5
the+desert+rats+1953,en,28,US,6.4
killing+them+softly+2012,en,80,US,5.8
lille+fridolf+blir+morfar+1957,sv,,SE,5.8
a+rumor+of+angels+2000,en,18,US,6.5
the+company+of+wolves+1984,en,14,GB,6.6
chocolate+2008,th,28,TH,7.0
winter+passing+2006,en,35,US,6.7
the+gunman+2015,en,28,FR,5.5
bell_+book+and+candle+1958,en,14,US,6.4
privates+on+parade+1983,en,35,GB,4.9
the+rites+of+may+1977,tl,27,PH,9.5
apple+jack+2003,en,35,,0.0
an+eye+for+an+eye+1981,en,12,US,5.5
damage+1992,en,18,FR,6.7
journey+to+the+center+of+the+earth+2008,en,28,US,5.8
passenger+side+2009,en,35,CA,5.7
mifune+1999,da,10749,DK,6.8
the+lady+and+the+duke+2001,fr,10752,FR,6.0
slingshot+hip+hop+2008,en,,,9.0
tracy+morgan+black++blue+2010,en,35,,8.0
above+us+only+sky+2011,de,18,DE,6.3
in+a+dark+place+2006,en,27,LU,3.4
a+return+to+salems+lot+1987,en,27,,4.4
gas+1981,en,,,0.0
son+of+rambow+2007,en,35,DE,6.7
like+you+know+it+all+2009,ko,18,KR,6.0
the+great+gatsby+1949,en,18,US,5.8
men+dont+leave+1990,en,18,US,6.6
read+my+lips+2001,fr,18,FR,7.0
knights+of+badassdom+2013,en,12,US,5.5
living+with+michael+jackson+a+tonight+special+2003,en,99,,1.0
the+haunting+in+connecticut+2009,en,53,US,6.0
getting+go+the+go+doc+project+2013,en,18,US,6.5
mosquito+squadron+1969,en,10752,GB,4.8
the+last+drop+2005,en,28,GB,4.2
murder_+he+says+1945,en,35,US,4.0
admission+2013,en,35,US,5.5
sazen+tange+and+the+pot+worth+a+million+ryo+1935,ja,18,JP,7.4
love_+honour+and+obey+2000,en,28,GB,6.6
enthiran+2010,ta,28,IN,6.5
the+public+woman+1984,fr,18,FR,6.1
the+friends+1971,fr,,,6.5
the+last+four+days+1974,it,10752,IT,5.5
the+man+1972,en,,US,8.0
paradise+love+2012,de,18,AT,6.7
peas+at+530+2004,de,18,DE,5.6
dead+awake+2010,en,14,US,4.3
new+york+lightboard+record+1961,en,99,,0.0
18+years+later+2010,it,35,IT,7.1
for+neda+2010,en,99,,5.5
a+grin+without+a+cat+1977,fr,99,FR,8.3
the+model+couple+1977,fr,18,FR,4.1
mother+1992,fr,35,FR,6.1
creep+2004,en,27,DE,5.5
the+pacific+2010,en,28,US,7.9
even+the+rain+2010,fr,18,FR,6.7
catching+hell+2011,en,99,,6.6
lost++found+1999,en,35,US,4.9
bangkok_+we+have+a+problem+2014,fr,12,FR,4.9
un+chien+andalou+1929,fr,18,FR,7.5
the+swan+princess+1994,en,16,US,6.5
the+big+bus+1976,en,28,US,6.1
three+men+and+a+little+lady+1990,en,35,US,5.2
barking+dogs+never+bite+2000,ko,35,KR,6.2
dana+carvey+squatting+monkeys+tell+no+lies+2008,en,35,US,5.5
fermats+room+2007,en,9648,ES,6.6
house+of+frankenstein+1944,en,14,US,6.2
safe+sex+1999,en,35,GR,7.1
best+of+the+best+2+1993,en,28,US,6.1
nachbarinnen+2004,de,18,DE,6.0
hot+shots+1991,en,28,US,6.4
pastoral+to+die+in+the+country+1974,ja,14,JP,7.8
coyote+ugly+2000,en,35,US,5.8
world+war+three+1998,de,10752,DE,6.6
rapture-palooza+2013,en,35,US,4.9
ace+ventura+pet+detective+1994,en,35,US,6.4
restaurant+1998,en,18,US,0.0
very+important+person+1961,en,10752,GB,4.9
ay_+carmela+1990,es,18,IT,6.5
voodoo+dawn+1991,en,,,2.3
three+men+and+a+baby+1987,en,10751,US,5.8
david+and+lisa+1962,en,10749,US,6.7
a+life+apart+hasidism+in+america+1998,en,99,,4.3
the+omen+1976,en,27,GB,7.2
paradise+canyon+1935,en,28,US,3.7
the+end+of+america+2008,en,99,,7.3
the+41yearold+virgin+who+knocked+up+sarah+marshall+and+felt+superbad+about+it+2010,en,35,US,3.2
dolls+2002,ja,18,JP,7.6
tormented+1960,en,27,US,5.0
pride+2007,en,18,DE,5.0
mariya+1975,ru,99,RU,6.5
the+cable+guy+1996,en,35,US,5.7
zone+troopers+1985,en,28,US,3.6
marvin+gaye+whats+going+on+life+and+death+of+marvin+gaye+2005,en,10402,,0.0
ferngully+the+last+rainforest+1992,en,14,AU,6.1
love+and+lemons+2013,sv,10749,SE,4.9
prime+suspect+the+final+act+2006,en,18,,8.0
something+of+value+1957,en,18,US,5.4
the+white+reindeer+1952,fi,18,FI,6.5
the+nine+lives+of+fritz+the+cat+1974,en,16,US,4.4
friday+night+2002,en,18,FR,5.0
the+wind+1928,en,18,US,6.8
dorian+gray+2009,en,14,GB,5.8
house+2008,en,18,PL,4.1
winters+bone+2010,en,18,US,6.8
the+cheap+detective+1978,en,35,US,6.6
port+of+call+1948,sv,18,SE,6.6
the+color+of+friendship+2000,en,10751,CA,6.5
broken+windows+2008,en,18,,4.2
dinoshark+2010,en,27,,4.4
when+did+you+last+see+your+father+2007,en,18,IE,6.8
where+east+is+east+1929,en,18,US,5.0
wind+with+the+gone+1998,it,,AR,5.8
the+horseplayer+1990,en,18,,0.0
desert+blue+1999,en,35,US,5.5
friday+the+13th+1980,en,27,US,6.4
the+mists+of+avalon+2001,en,18,CZ,6.4
deep+in+the+valley+2009,en,35,US,4.8
why+not+me+1999,en,35,FR,6.4
drum+2004,en,28,,6.0
le+poulpe+1998,fr,35,FR,6.5
d.a.r.y.l.+1985,en,10751,GB,6.2
mad+monster+party+1967,en,35,US,6.1
a+goofy+movie+1995,en,10749,US,6.7
100+years+of+evil+2010,en,,,5.5
four+days+in+september+1997,pt,28,BR,7.3
civil+brand+2003,en,80,US,5.3
conquest+of+space+1955,en,878,US,5.0
naked+harbour+2012,en,18,FI,6.0
oldboy+2013,en,18,US,5.9
the+diary+of+a+chambermaid+1946,en,18,US,5.9
repeaters+2010,en,878,CA,5.7
chalte+chalte+2003,en,35,IN,6.2
10+1979,en,35,US,5.4
flannel+pajamas+2006,en,18,US,0.0
the+crime+of+monsieur+lange+1936,fr,18,,6.2
dead+end+2003,en,9648,FR,6.6
deadly+advice+1994,en,,,0.0
one+night+with+the+king+2006,en,18,US,6.1
parking+2008,zh,18,TW,7.7
picture+bride+1995,en,18,JP,7.4
lawyer+man+1933,en,18,US,6.0
the+paperboy+2012,en,53,US,5.4
the+sea+vultures+1915,sv,18,SE,0.0
get+shorty+1995,en,35,US,6.4
end+of+watch+2012,en,80,US,7.2
plans+for+tomorrow+2010,en,18,,5.0
beyond+the+clouds+1995,fr,18,DE,6.7
brother+minister+the+assassination+of+malcolm+x+1995,en,99,,4.0
morvern+callar+2002,en,18,GB,7.2
faust+1994,cs,16,CZ,7.4
dirty+work+1998,en,35,CA,6.5
shadow+man+2006,en,28,RO,4.3
el+prximo+oriente+2006,it,,ES,5.2
the+numbers+station+2013,en,28,GB,5.3
nenette+and+boni+1997,fr,18,FR,8.0
night+of+the+ghouls+1959,en,27,US,4.7
pompeii+the+mystery+of+the+people+frozen+in+time+2013,en,99,,4.5
island+of+the+fishmen+1979,it,878,IT,6.6
kedma+2002,he,10752,IL,5.0
merlin+1998,en,12,GB,6.0
rat+2001,en,18,GB,6.0
d-day+2013,hi,28,IN,6.4
cosmic+journey+1936,ru,878,SU,5.8
kiss+me+goodbye+1986,en,,,7.0
+propos+de+nice+1930,fr,99,FR,6.9
yi+yi+2000,zh,18,TW,7.7
last+days+in+vietnam+2014,en,10752,US,7.0
tremors+1990,en,28,US,6.6
the+punisher+2004,en,28,DE,6.1
dmt+the+spirit+molecule+2010,en,99,US,6.0
people+i+know+2002,en,18,DE,5.5
home+2009,fr,99,FR,7.9
breaking+and+entering+2006,en,18,GB,6.3
westfront+1918+1930,de,18,DE,5.8
amys+orgasm+2001,en,35,US,5.4
with+honors+1994,en,35,US,6.1
severance+2006,en,27,GB,6.4
rumble+fish+1983,en,28,US,6.8
police+python+357+1976,fr,28,FR,6.2
the+man+in+grey+1943,en,18,GB,5.7
the+bannen+way+2010,en,28,US,4.9
children+of+the+corn+1984,en,18,US,5.6
genevieve+1953,en,35,GB,6.3
i+am+bruce+lee+2012,en,99,CA,7.7
the+wrestler+2008,en,18,US,7.3
by+the+sword+1991,en,18,US,5.2
blind+chance+1987,pl,18,PL,7.7
the+devil+dared+me+to+2007,en,28,NZ,5.6
the+time+and+patience+1994,fr,,CA,0.0
the+noahs+ark+principle+1984,de,878,DE,4.1
death+sentence+2007,en,28,US,6.4
mid-august+lunch+2008,it,18,IT,7.0
hulk+2003,en,18,US,5.3
hellraiser+inferno+2000,en,80,US,5.3
barnacle+bill+1957,en,35,GB,5.3
invasion+of+astro-monster+1965,ja,10749,JP,6.2
hearts+of+darkness+a+filmmakers+apocalypse+1991,en,99,US,8.0
baby+needs+a+new+pair+of+shoes+1974,en,53,US,6.3
the+humanoid+1979,it,14,IT,5.0
the+sword+and+the+dragon+1956,ru,12,RU,5.3
war+horse+2011,en,18,US,7.0
pagafantas+2009,es,35,ES,5.2
man+of+steel+2013,en,28,GB,6.5
frisco+jenny+1932,en,18,US,5.3
cbgb+2013,en,18,US,6.5
wimbledon+2004,en,35,FR,6.0
love+before+breakfast+1936,en,35,US,5.0
the+wayward+bus+1957,en,,,0.0
werewolves+on+wheels+1971,en,28,US,7.4
a+brighter+summer+day+1991,zh,80,TW,8.4
big+fish+2003,en,12,US,7.6
the+velocity+of+gary+1999,en,18,US,4.2
waltz+for+monica+2013,sv,10402,SE,5.9
epidemic+1987,da,27,DK,6.2
penguins+of+madagascar+2014,en,10751,US,6.5
malaya+1949,en,12,US,6.0
the+magic+flute+1975,sv,14,SE,7.1
roseannas+grave+1997,en,35,IT,6.3
the+other+1972,en,18,US,6.0
our+music+2004,fr,18,CH,6.2
gaslight+1944,en,18,US,7.2
the+dish+2000,en,36,AU,6.6
rouge+1987,cn,18,HK,6.8
waiter+2006,nl,35,NL,6.3
from+the+east+1993,fr,99,BE,8.0
the+deep+1977,en,9648,US,5.7
the+moment+after+2+the+awakening+2006,en,878,US,3.1
hell+2005,fr,18,FR,6.3
this+happy+breed+1944,en,35,GB,6.6
reservoir+dogs+1992,en,80,US,8.1
a+dirty+shame+2004,en,35,US,5.4
gun+crazy+1950,en,80,US,7.2
norwegian+ninja+2010,en,18,NO,3.8
mother+and+child+2009,en,18,ES,6.7
stromberg+-+der+film+2014,de,35,DE,7.0
out+of+nature+2014,no,35,NO,7.1
belly+of+the+beast+2003,en,28,CA,4.8
islands+in+the+stream+1977,en,18,,6.5
boy+wonder+2010,en,28,US,6.4
the+mountain+men+1980,it,28,US,5.6
sgt.+peppers+lonely+hearts+club+band+1978,en,12,US,4.5
basket+case+2+1990,en,27,US,5.6
1776+1972,en,18,US,7.1
opposing+force+1986,en,,,4.3
the+arrangement+1969,en,18,US,4.3
jack+the+giant+slayer+2013,en,28,US,5.5
the+legend+of+leigh+bowery+2002,en,99,DK,7.0
les+misrables+1978,en,18,GB,6.1
boeing_+boeing+1965,en,35,US,6.2
which+way+home+2009,en,99,,7.5
python+2000,en,35,US,3.7
q+1982,en,18,US,5.4
niagara+1953,en,80,US,6.7
batman+beyond+return+of+the+joker+2000,en,16,US,7.5
the+guitar+2008,en,10749,US,6.4
blood+out+2011,en,28,US,5.6
mclintock+1963,en,37,US,6.2
queen+days+of+our+lives+2011,en,99,GB,6.7
the+adventures+of+ichabod+and+mr.+toad+1949,en,27,US,6.4
slaying+the+badger+2014,en,99,,10.0
the+redemption+of+general+butt+naked+2011,en,99,,7.3
crossworlds+1996,en,28,US,4.6
the+trap+what+happened+to+our+dream+of+freedom+2007,en,,GB,8.3
love+dont+cost+a+thing+2003,en,35,US,5.4
mad+dog+coll+1961,en,80,US,6.0
about+a+boy+2002,en,18,GB,6.6
the+sons+of+katie+elder+1965,en,37,US,7.0
the+waiting+game+1999,en,35,,0.0
a+confucian+confusion+1994,zh,35,TW,8.0
the+benny+goodman+story+1956,en,18,US,5.9
streets+of+blood+2009,en,28,US,4.6
how+bruce+lee+changed+the+world+2009,en,99,US,7.8
salems+lot+1979,en,9648,US,6.2
ranma++the+movie+1_+big+trouble+in+nekonron_+china+1991,ja,,JP,5.3
confession+1937,en,80,US,7.2
london+to+brighton+2006,en,80,GB,6.5
midnight+lace+1960,en,53,US,6.9
the+mummys+shroud+1967,en,27,GB,5.0
the+purple+plain+1954,en,18,GB,5.5
three+men+and+a+cradle+1985,fr,35,FR,6.4
angels+leap+1971,fr,80,FR,5.0
tinker+bell+and+the+lost+treasure+2009,en,16,IN,6.4
fancy+pants+1950,en,10402,US,5.1
out+of+time+2003,en,53,US,6.1
a+glimpse+inside+the+mind+of+charles+swan+iii+2012,en,35,US,4.2
mad+hot+ballroom+2005,en,99,US,7.2
the+glass+web+1953,en,80,US,6.2
loser+takes+all+2004,fr,9648,FR,5.2
the+giant+mechanical+man+2012,en,35,,6.1
the+fighting+temptations+2003,en,35,US,5.3
the+miracle+worker+1962,en,18,US,7.5
stagecoach+1966,en,37,US,4.5
boys+life+4+four+play+2003,en,,,5.0
