user_id	recommended_movies
12779	['the+shawshank+redemption+1994', 'the+usual+suspects+1995', 'the+matrix+1999', 'blade+runner+1982', 'life+is+beautiful+1997', 'sunset+boulevard+1950', 'aliens+1986', 'm+1931', 'scarface+1983', 'playtime+1967', 'i_+robot+2004', 'the+princess+bride+1987', 'the+lives+of+others+2006', 'the+class+2008', 'fight+club+1999', 'raiders+of+the+lost+ark+1981', 'the+graduate+1967', 'inglourious+basterds+2009', 'ratatouille+2007', 'a+close+shave+1995']
498106	['the+shawshank+redemption+1994', 'fight+club+1999', 'the+usual+suspects+1995', 'raiders+of+the+lost+ark+1981', 'elary+2003', 'the+matrix+1999', 'pans+labyrinth+2006', 'laventure+cest+laventure+1972', 'the+lives+of+others+2006', 'a+patch+of+blue+1965', 'blade+runner+1982', 'schindlers+list+1993', 'nightcrawler+2014', 'the+immigrant+1917', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'the+dark+knight+2008', 'reservation+road+2007', 'a+close+shave+1995', 'star+wars+1977', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001']
426319	['the+shawshank+redemption+1994', 'the+godfather+1972', 'fight+club+1999', 'raiders+of+the+lost+ark+1981', 'run+lola+run+1998', 'the+matrix+1999', 'pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003', 'sanjuro+1962', 'the+lives+of+others+2006', 'the+cameramans+revenge+1912', 'sunset+boulevard+1950', 'american+beauty+1999', 'tsotsi+2005', 'off+the+charts+the+song-poem+story+2003', 'forrest+gump+1994', 'inception+2010', 'the+princess+bride+1987', 'incendies+2010', 'the+usual+suspects+1995', 'sweeney+todd+the+demon+barber+of+fleet+street+1982']
172731	['the+usual+suspects+1995', 'the+shawshank+redemption+1994', 'the+godfather+1972', 'the+matrix+1999', 'fight+club+1999', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'blade+runner+1982', 'rashomon+1950', 'a+close+shave+1995', 'amlie+2001', 'schindlers+list+1993', 'the+grey+zone+2001', 'the+strange+world+of+planet+x+1958', 'persepolis+2007', 'the+scarlet+pimpernel+1934', 'the+lives+of+others+2006', 'woodstock+1970', 'gladiator+2000', 'the+dark+knight+rises+2012', 'beauty+and+the+beast+1991']
284810	['the+shawshank+redemption+1994', 'the+matrix+1999', 'life+is+beautiful+1997', 'the+usual+suspects+1995', 'amlie+2001', 'sanjuro+1962', 'the+lord+of+the+rings+the+two+towers+2002', 'fight+club+1999', 'underground+1995', 'the+strange+world+of+planet+x+1958', 'the+first+movie+2009', 'songcatcher+2001', 'goodfellas+1990', 'a+close+shave+1995', 'rashomon+1950', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'pulp+fiction+1994', 'apocalypse+now+1979', 'star+wars+1977', 'the+staircase+2004']
242014	['the+shawshank+redemption+1994', 'the+matrix+1999', 'bellissima+1951', 'the+usual+suspects+1995', 'm+1931', 'fight+club+1999', 'sunset+boulevard+1950', 'inglourious+basterds+2009', 'raiders+of+the+lost+ark+1981', 'the+avengers+2012', 'amlie+2001', 'the+princess+bride+1987', 'a+boy+named+charlie+brown+1969', 'the+lives+of+others+2006', 'blade+runner+1982', 'donnie+darko+2001', 'sittin+on+a+backyard+fence+1933', 'the+conversation+1974', 'agent+red+2000', 'premium+rush+2012']
27525	['the+shawshank+redemption+1994', 'the+matrix+1999', 'blade+runner+1982', 'fight+club+1999', 'a+clockwork+orange+1971', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'raiders+of+the+lost+ark+1981', 'those+magnificent+men+in+their+flying+machines+or+how+i+flew+from+london+to+paris+in+25+hours+11+minutes+1965', 'incendies+2010', 'amlie+2001', 'mr.+troop+mom+2009', 'the+godfather+1972', 'inglourious+basterds+2009', 'the+lives+of+others+2006', 'the+usual+suspects+1995', 'run+lola+run+1998', 'american+beauty+1999', 'laventure+cest+laventure+1972', 'a+blueprint+for+murder+1953', 'forrest+gump+1994']
490523	['the+shawshank+redemption+1994', 'm+1931', 'the+godfather+1972', 'laventure+cest+laventure+1972', 'the+matrix+1999', 'the+usual+suspects+1995', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'life+is+beautiful+1997', 'inglourious+basterds+2009', 'the+princess+bride+1987', 'raiders+of+the+lost+ark+1981', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'raining+stones+1993', 'the+sunset+limited+2011', 'ratatouille+2007', 'a+tale+of+two+sisters+2003', 'my+big+fat+greek+wedding+2002', '35+up+1991', 'zatichi+the+fugitive+1963', 'happy+people+a+year+in+the+taiga+2010']
373997	['the+shawshank+redemption+1994', 'blade+runner+1982', 'fight+club+1999', 'the+lives+of+others+2006', 'the+princess+bride+1987', 'the+usual+suspects+1995', 'inglourious+basterds+2009', 'the+godfather+1972', 'raiders+of+the+lost+ark+1981', 'amlie+2001', 'stories+of+lost+souls+2004', 'vernon_+florida+1981', '35+up+1991', 'a+close+shave+1995', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'rashomon+1950', 'fargo+1996', 'visions+of+europe+2004', 'the+matrix+1999', 'kolberg+1945']
152424	['the+shawshank+redemption+1994', 'the+lives+of+others+2006', 'bugs+bunnys+looney+christmas+tales+1979', 'always+1989', 'the+life+of+jesus+1997', 'the+godfather+1972', 'seven+samurai+1954', 'fight+club+1999', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'begotten+1990', 'the+matrix+1999', 'the+lord+of+the+rings+the+two+towers+2002', 'a+close+shave+1995', 'inglourious+basterds+2009', 'wyoming+renegades+1954', 'stories+of+lost+souls+2004', 'made+in+dagenham+2010', 'dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964', 'woodstock+1970', 'scarface+1983']
