user_id	recommended_movies
12779	['fight+club+1999', 'the+lives+of+others+2006', 'aparajito+1956', 'm+1931', 'blade+runner+1982', 'inglourious+basterds+2009', 'persepolis+2007', 'the+shawshank+redemption+1994', 'the+usual+suspects+1995', 'casablanca+1942', 'the+great+escape+1963', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'my+man+godfrey+1936', 'madison+avenue+1962', 'pulp+fiction+1994', 'schindlers+list+1993', 'raiders+of+the+lost+ark+1981', 'a+face+in+the+crowd+1957', 'twelve+monkeys+1995', 'rear+window+1954']
498106	['life+is+beautiful+1997', 'amlie+2001', 'sunset+boulevard+1950', 'fight+club+1999', 'the+shawshank+redemption+1994', 'raiders+of+the+lost+ark+1981', 'a+clockwork+orange+1971', 'the+matrix+1999', 'the+lord+of+the+rings+the+two+towers+2002', 'the+lives+of+others+2006', 'blade+runner+1982', 'schindlers+list+1993', 'inglourious+basterds+2009', 'chappie+2015', 'persepolis+2007', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'twelve+monkeys+1995', 'the+usual+suspects+1995', 'pulp+fiction+1994', 'damage+1992']
426319	['the+shawshank+redemption+1994', 'the+matrix+1999', 'fight+club+1999', 'the+usual+suspects+1995', 'a+close+shave+1995', 'flight+of+the+conchords+a+texan+odyssey+2006', 'the+godfather+1972', 'sal_+or+the+120+days+of+sodom+1975', 'schindlers+list+1993', 'love+me+if+you+dare+2003', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'american+beauty+1999', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'm+1931', 'elary+2003', 'life+is+beautiful+1997', 'underground+1995', 'blade+runner+1982', 'inglourious+basterds+2009', 'flamingo+road+1949']
172731	['the+shawshank+redemption+1994', 'blade+runner+1982', 'inglourious+basterds+2009', 'the+godfather+1972', 'fight+club+1999', 'life+is+beautiful+1997', 'raiders+of+the+lost+ark+1981', 'the+matrix+1999', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'seven+samurai+1954', 'the+usual+suspects+1995', 'amlie+2001', 'swiss+family+robinson+1960', 'romper+stomper+1992', 'vernon_+florida+1981', 'mickey_+donald_+goofy+the+three+musketeers+2004', 'dragon+ball+z+bio-broly+1994', 'scarface+1983', 'django+unchained+2012', 'black+cat_+white+cat+1998']
284810	['the+matrix+1999', 'the+shawshank+redemption+1994', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'the+princess+bride+1987', 'fight+club+1999', 'schindlers+list+1993', 'm+1931', 'the+godfather+1972', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'raiders+of+the+lost+ark+1981', 'star+wars+1977', 'happy+people+a+year+in+the+taiga+2010', 'blade+runner+1982', 'olympus+has+fallen+2013', 'the+good_+the+bad+and+the+ugly+1966', 'life+is+beautiful+1997', 'the+usual+suspects+1995', 'amlie+2001', 'a+close+shave+1995', 'hoop+dreams+1994']
242014	['the+godfather+1972', 'the+matrix+1999', 'the+shawshank+redemption+1994', 'the+usual+suspects+1995', 'fight+club+1999', 'forrest+gump+1994', 'amlie+2001', 'seven+samurai+1954', 'the+world+of+apu+1959', 'the+good_+the+bad+and+the+ugly+1966', 'cinderella+man+2005', 'interstellar+2014', 'senso+1954', 'the+best+years+of+our+lives+1946', 'lawrence+of+arabia+1962', 'raiders+of+the+lost+ark+1981', 'inglourious+basterds+2009', 'lust+for+life+1956', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'thunder+soul+2010']
27525	['the+shawshank+redemption+1994', 'amlie+2001', 'dial+m+for+murder+1954', 'sunset+boulevard+1950', 'the+matrix+1999', 'seven+samurai+1954', 'princess+mononoke+1997', 'the+princess+bride+1987', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'raise+the+red+lantern+1991', 'libeled+lady+1936', 'oliver+twist+1948', 'inglourious+basterds+2009', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'life+is+beautiful+1997', 'american+beauty+1999', 'venus+wars+1989', 'm+1931', 'forrest+gump+1994', 'raiders+of+the+lost+ark+1981']
490523	['the+shawshank+redemption+1994', 'the+matrix+1999', 'amlie+2001', 'the+maltese+falcon+1931', 'the+godfather+1972', 'mr.+troop+mom+2009', 'a+close+shave+1995', 'don+jon+2013', 'the+usual+suspects+1995', 'seven+samurai+1954', 'jayne+mansfields+car+2012', 'life+is+beautiful+1997', 'blade+runner+1982', 'city+of+god+2002', 'the+lives+of+others+2006', 'the+kingdom+1994', 'fight+club+1999', 'aparajito+1956', 'badmans+country+1958', 'schindlers+list+1993']
373997	['the+shawshank+redemption+1994', 'blade+runner+1982', 'a+close+shave+1995', 'amlie+2001', 'raise+the+red+lantern+1991', 'sunset+boulevard+1950', 'the+matrix+1999', 'rear+window+1954', 'a+clockwork+orange+1971', 'raiders+of+the+lost+ark+1981', 'the+godfather+1972', 'in+football+we+trust+2015', 'the+immigrant+1917', 'the+usual+suspects+1995', 'the+best+years+of+our+lives+1946', 'the+lord+of+the+rings+the+two+towers+2002', 'straight+shooting+1917', 'up+the+down+staircase+1967', 'the+knack...+and+how+to+get+it+1965', 'the+scarlet+pimpernel+1934']
152424	['the+shawshank+redemption+1994', 'fight+club+1999', 'amlie+2001', 'the+matrix+1999', 'a+close+shave+1995', 'the+maltese+falcon+1931', 'the+lord+of+the+rings+the+two+towers+2002', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'the+usual+suspects+1995', 'raiders+of+the+lost+ark+1981', 'blade+runner+1982', 'pans+labyrinth+2006', 'seven+samurai+1954', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'american+beauty+1999', 'badmans+country+1958', 'robot+carnival+1987', 'schindlers+list+1993', 'the+scar+2013', 'princess+mononoke+1997']
344662	['the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'blade+runner+1982', 'the+matrix+1999', 'the+shawshank+redemption+1994', 'the+lord+of+the+rings+the+two+towers+2002', 'raiders+of+the+lost+ark+1981', 'inglourious+basterds+2009', 'the+dark+knight+2008', 'pans+labyrinth+2006', 'bellissima+1951', 'oliver+twist+1948', '12+angry+men+1957', 'the+princess+bride+1987', 'the+tale+of+the+princess+kaguya+2013', 'the+great+escape+1963', 'schindlers+list+1993', 'premium+rush+2012', 'princess+mononoke+1997', 'napoleon+dynamite+2004', 'star+wars+1977']
221988	['the+shawshank+redemption+1994', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+usual+suspects+1995', 'the+princess+bride+1987', 'm+1931', 'princess+mononoke+1997', 'seven+samurai+1954', 'fight+club+1999', 'the+great+escape+1963', 'sunset+boulevard+1950', 'blade+runner+1982', 'donnie+darko+2001', 'what+women+want+2000', 'a+clockwork+orange+1971', 'the+matrix+1999', 'the+strange+world+of+planet+x+1958', 'raise+the+red+lantern+1991', 'enemy+of+the+state+1998', 'infernal+affairs+2002', 'one+man+band+2005']
239030	['the+shawshank+redemption+1994', 'fight+club+1999', 'seven+samurai+1954', 'inglourious+basterds+2009', 'the+matrix+1999', 'life+is+beautiful+1997', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+life+of+jesus+1997', 'twelve+monkeys+1995', 'safe+haven+2013', 'amlie+2001', 'the+pacifier+2005', 'raiders+of+the+lost+ark+1981', 'running+on+empty+1988', 'aparajito+1956', 'bright+star+2009', 'my+fathers+glory+1990', 'the+perils+of+pauline+1914', 'wisconsin+death+trip+1999', 'stories+of+lost+souls+2004']
224282	['the+shawshank+redemption+1994', 'the+fall+2008', 'the+lord+of+the+rings+the+two+towers+2002', 'schindlers+list+1993', 'blade+runner+1982', 'fight+club+1999', 'chappie+2015', 'the+usual+suspects+1995', 'the+matrix+1999', 'a+face+in+the+crowd+1957', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+godfather+1972', 'raiders+of+the+lost+ark+1981', 'amlie+2001', 'beauty+and+the+beast+1991', 'my+neighbor+totoro+1988', 'american+beauty+1999', 'dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964', 'winnie+the+pooh+and+the+honey+tree+1966', 'nightcrawler+2014']
431540	['the+shawshank+redemption+1994', 'amlie+2001', 'fight+club+1999', 'the+matrix+1999', 'the+lives+of+others+2006', 'rear+window+1954', 'the+civil+war+1990', 'sunset+boulevard+1950', 'the+usual+suspects+1995', 'raiders+of+the+lost+ark+1981', 'a+close+shave+1995', 'seven+samurai+1954', 'the+silence+of+the+lambs+1991', 'the+world+of+apu+1959', 'sal_+or+the+120+days+of+sodom+1975', 'the+five+venoms+1978', 'inglourious+basterds+2009', 'blade+runner+1982', 'bandslam+2009', 'hoop+dreams+1994']
331298	['the+shawshank+redemption+1994', 'fight+club+1999', 'the+matrix+1999', 'a+clockwork+orange+1971', 'the+usual+suspects+1995', 'the+godfather+1972', 'blade+runner+1982', 'the+avengers+2012', 'pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003', 'a+close+shave+1995', 'inglourious+basterds+2009', 'trainspotting+1996', 'sunset+boulevard+1950', 'flight+of+the+conchords+a+texan+odyssey+2006', 'rashomon+1950', 'the+beyond+1981', 'the+lives+of+others+2006', 'm+1931', 'foreign+correspondent+1940', 'life+is+beautiful+1997']
100243	['the+shawshank+redemption+1994', 'fight+club+1999', 'sunset+boulevard+1950', 'the+princess+bride+1987', 'the+matrix+1999', 'playtime+1967', 'raiders+of+the+lost+ark+1981', 'the+usual+suspects+1995', 'inglourious+basterds+2009', 'the+dark+knight+2008', 'pans+labyrinth+2006', 'the+silence+of+the+lambs+1991', 'amlie+2001', 'blade+runner+1982', 'the+lord+of+the+rings+the+two+towers+2002', 'what+women+want+2000', 'schindlers+list+1993', 'the+great+escape+1963', 'life+is+beautiful+1997', 'house+1977']
294116	['the+shawshank+redemption+1994', 'fight+club+1999', 'the+usual+suspects+1995', 'blade+runner+1982', 'the+lord+of+the+rings+the+two+towers+2002', 'amlie+2001', 'schindlers+list+1993', 'raiders+of+the+lost+ark+1981', 'il+grido+1957', 'a+clockwork+orange+1971', 'aparajito+1956', 'sunset+boulevard+1950', 'seven+samurai+1954', 'oliver+twist+1948', 'the+matrix+1999', 'the+organizer+1963', 'star+wars+1977', 'starship+troopers+1997', '12+angry+men+1957', 'the+silence+of+the+lambs+1991']
171934	['the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+lives+of+others+2006', 'the+shawshank+redemption+1994', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'the+usual+suspects+1995', 'bright+star+2009', 'a+close+shave+1995', 'the+matrix+1999', 'fight+club+1999', 'the+princess+bride+1987', 'the+great+escape+1963', 'seven+samurai+1954', 'the+strange+world+of+planet+x+1958', 'the+avengers+2012', 'the+mask+you+live+in+2015', 'm+1931', 'stories+of+lost+souls+2004', 'princess+mononoke+1997', 'american+beauty+1999', 'blade+runner+1982']
419181	['fight+club+1999', 'the+shawshank+redemption+1994', 'm+1931', 'the+great+escape+1963', 'sunset+boulevard+1950', 'the+lord+of+the+rings+the+two+towers+2002', 'the+matrix+1999', 'the+godfather+1972', 'amlie+2001', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+usual+suspects+1995', 'seven+samurai+1954', 'blade+runner+1982', 'off+the+charts+the+song-poem+story+2003', 'damage+1992', 'the+brotherhood+1968', 'aparajito+1956', 'persepolis+2007', 'straight+shooting+1917', 'a+little+stiff+1991']
96232	['forrest+gump+1994', 'the+shawshank+redemption+1994', 'the+matrix+1999', 'amlie+2001', 'blade+runner+1982', 'inglourious+basterds+2009', 'run+lola+run+1998', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+princess+bride+1987', 'the+great+escape+1963', 'raiders+of+the+lost+ark+1981', 'sunset+boulevard+1950', 'the+lord+of+the+rings+the+two+towers+2002', 'x-men+days+of+future+past+2014', 'beauty+and+the+beast+1991', 'doctor+at+large+1957', 'schindlers+list+1993', 'enemy+of+the+state+1998', 'personal+best+1982', 'twelve+monkeys+1995']
242426	['the+shawshank+redemption+1994', 'blade+runner+1982', 'rashomon+1950', 'seven+samurai+1954', 'happiness+1998', 'raiders+of+the+lost+ark+1981', 'once+were+warriors+1994', 'this+sporting+life+1963', 'forrest+gump+1994', 'the+tale+of+the+princess+kaguya+2013', 'the+reivers+1969', 'schindlers+list+1993', 'star+wars+1977', 'the+life+of+jesus+1997', 'the+world+of+apu+1959', 'the+matrix+1999', 'the+black+cauldron+1985', 'the+lord+of+the+rings+the+two+towers+2002', 'la+femme+nikita+1990', 'amlie+2001']
164653	['seven+samurai+1954', 'fight+club+1999', 'the+shawshank+redemption+1994', 'the+godfather+1972', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'a+clockwork+orange+1971', 'pulp+fiction+1994', 'north+by+northwest+1959', 'i_+robot+2004', '12+angry+men+1957', 'inglourious+basterds+2009', 'the+lord+of+the+rings+the+two+towers+2002', 'donnie+darko+2001', 'one+man+band+2005', 'the+lookout+2007', 'the+400+blows+1959', 'infernal+affairs+2002', 'schindlers+list+1993', 'the+matrix+1999', 'the+boys+of+st.+vincent+1992']
3727	['the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+shawshank+redemption+1994', 'the+matrix+1999', 'fight+club+1999', 'seven+samurai+1954', 'raiders+of+the+lost+ark+1981', 'the+usual+suspects+1995', 'the+princess+bride+1987', 'enemy+of+the+state+1998', 'amlie+2001', 'true+lies+1994', 'raise+the+red+lantern+1991', 'a+close+shave+1995', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'the+lord+of+the+rings+the+two+towers+2002', 'the+immigrant+1917', 'incendies+2010', 'vernon_+florida+1981', 'winnie+the+pooh+and+the+honey+tree+1966', 'black+cat_+white+cat+1998']
519697	['the+shawshank+redemption+1994', 'the+matrix+1999', 'inglourious+basterds+2009', 'the+usual+suspects+1995', 'blade+runner+1982', 'life+is+beautiful+1997', 'raiders+of+the+lost+ark+1981', 'fight+club+1999', 'twelve+monkeys+1995', 'portrait+of+jennie+1948', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'a+close+shave+1995', 'amlie+2001', 'princess+mononoke+1997', 'sal_+or+the+120+days+of+sodom+1975', 'm+1931', 'made+in+dagenham+2010', 'a+clockwork+orange+1971', 'the+great+escape+1963', 'seven+samurai+1954']
450016	['the+shawshank+redemption+1994', 'inglourious+basterds+2009', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+graduate+1967', 'a+tale+of+two+sisters+2003', 'm+1931', 'fight+club+1999', 'the+matrix+1999', 'oliver+twist+1948', 'perfect+blue+1997', 'life+is+beautiful+1997', 'sunset+boulevard+1950', 'immensee+1943', 'cocaine+cowboys+2006', '12+angry+men+1957', 'die+another+day+2002', 'raiders+of+the+lost+ark+1981', 'pulp+fiction+1994', 'star+wars+1977', 'amlie+2001']
14092	['the+shawshank+redemption+1994', 'the+matrix+1999', 'fight+club+1999', 'seven+samurai+1954', 'the+lives+of+others+2006', 'inglourious+basterds+2009', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+godfather+1972', 'the+usual+suspects+1995', 'blade+runner+1982', 'mother+1992', 'm+1931', 'bright+star+2009', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'raiders+of+the+lost+ark+1981', 'a+close+shave+1995', 'the+saint+1997', 'spellbound+1945', 'rashomon+1950', 'vigilante+1983']
540875	['the+shawshank+redemption+1994', 'the+matrix+1999', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'blade+runner+1982', 'fight+club+1999', 'seven+samurai+1954', 'the+usual+suspects+1995', 'inglourious+basterds+2009', 'm+1931', 'amlie+2001', 'raiders+of+the+lost+ark+1981', 'laventure+cest+laventure+1972', 'the+lives+of+others+2006', 'harry+potter+and+the+chamber+of+secrets+2002', 'a+close+shave+1995', 'forrest+gump+1994', 'the+lord+of+the+rings+the+two+towers+2002', 'the+godfather+1972', 'chappie+2015', 'city+of+god+2002']
211898	['the+shawshank+redemption+1994', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+usual+suspects+1995', 'seven+samurai+1954', 'don+jon+2013', 'fight+club+1999', 'sylvia+scarlett+1935', 'amlie+2001', 'black+cat_+white+cat+1998', 'blade+runner+1982', 'the+matrix+1999', 'nightcrawler+2014', 'the+maltese+falcon+1931', 'rashomon+1950', 'aparajito+1956', 'pulp+fiction+1994', 'dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964', 'begotten+1990', 'the+brotherhood+1968', 'those+magnificent+men+in+their+flying+machines+or+how+i+flew+from+london+to+paris+in+25+hours+11+minutes+1965']
419457	['the+shawshank+redemption+1994', 'a+close+shave+1995', 'life+is+beautiful+1997', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+usual+suspects+1995', 'the+matrix+1999', 'inglourious+basterds+2009', 'm+1931', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'pirates+of+the+caribbean+at+worlds+end+2007', 'the+avengers+2012', 'kikujiro+1999', 'wake+up_+ron+burgundy+the+lost+movie+2004', 'shrek+2001', 'raise+the+red+lantern+1991', 'a+clockwork+orange+1971', 'savior+1998', 'princess+mononoke+1997', 'a+patch+of+blue+1965', 'enemy+of+the+state+1998']
321209	['the+shawshank+redemption+1994', 'the+matrix+1999', 'the+usual+suspects+1995', 'fight+club+1999', 'blade+runner+1982', 'a+close+shave+1995', 'raiders+of+the+lost+ark+1981', 'the+godfather+1972', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+lives+of+others+2006', 'inglourious+basterds+2009', 'scarface+1983', 'life+is+beautiful+1997', 'the+strange+world+of+planet+x+1958', 'the+boys+of+st.+vincent+1992', 'nausica+of+the+valley+of+the+wind+1984', 'mickey_+donald_+goofy+the+three+musketeers+2004', 'seven+samurai+1954', 'raise+the+red+lantern+1991']
