user_id,movie_id,rate
540627,lonesome+jim+2005,2
410729,the+dark+knight+rises+2012,5
605864,the+pursuit+of+unhappiness+2012,4
435563,shrek+2+2004,4
126782,anna+lucasta+1958,4
507053,red+dust+1932,4
475162,four+sided+triangle+1953,3
210055,separation+city+2009,3
13561,the+man+who+knew+too+much+1956,4
422138,presto+2008,3
476562,dial+m+for+murder+1954,4
566329,scarface+1983,4
487872,evidence+1995,4
64184,do+we+really+need+the+moon+2011,3
110,forbidden+planet+1956,4
150549,x-men+days+of+future+past+2014,4
43466,akira+1988,4
379553,cinderella+1950,2
434312,the+wolf+of+wall+street+2013,3
226807,sudden+impact+1983,3
417442,my+name+is+juani+2006,4
448461,rumor+has+it...+2005,2
151927,black+plague+2002,4
323776,world+war+three+1998,3
413539,kick-ass+2+2013,3
246375,schultze+gets+the+blues+2003,3
139706,love+is+strange+2014,4
358334,saboteur+1942,4
247671,ellen+degeneres+the+beginning+2000,4
394141,talladega+nights+the+ballad+of+ricky+bobby+2006,3
287680,thunderbirds+are+go+1966,4
551841,harry+potter+and+the+deathly+hallows+part+1+2010,3
338258,the+shining+1980,5
46276,fahrenheit+451+1966,3
364360,the+maze+runner+2014,5
249100,ponyo+2008,3
61211,the+scorpion+king+2002,3
300446,beauty+and+the+beast+1991,4
490067,gentlemen+2014,3
138537,back+to+the+future+part+ii+1989,3
34112,indiana+jones+and+the+last+crusade+1989,5
521208,perfect+blue+1997,3
527571,the+great+debaters+2007,3
32704,kummeli+v+2014,4
264806,the+mystery+of+the+leaping+fish+1916,4
387906,stripes+1981,4
214892,finding+nemo+2003,4
150408,ricomincio+da+tre+1981,2
45765,midnight+cowboy+1969,5
237455,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,4
114654,crank+high+voltage+2009,4
505168,inception+2010,3
117150,hellgate+2011,4
582048,monsieur++hulots+holiday+1953,4
564534,conan+the+barbarian+1982,4
349619,from+the+life+of+the+marionettes+1980,3
93106,inn+of+evil+1971,4
433377,whisky+galore+1949,2
10210,the+great+happiness+space+tale+of+an+osaka+love+thief+2006,4
512112,kikujiro+1999,3
35004,firstborn+1984,3
480488,spirit+stallion+of+the+cimarron+2002,3
571409,interstellar+2014,4
206946,red+garters+1954,3
85717,terminator+3+rise+of+the+machines+2003,3
545604,the+ballad+of+narayama+1983,4
405402,a+little+night+music+1977,4
339821,fanboys+2009,4
581796,sailing+to+paradise+2014,4
219848,adam+2009,4
484496,the+shining+1980,4
38338,the+escapist+2008,4
498788,inception+2010,4
572883,one+on+one+1977,4
599382,saving+santa+2013,3
321537,monty+python+and+the+holy+grail+1975,4
454158,sorry+if+i+love+you+2008,3
438822,intermezzo+a+love+story+1939,4
121360,le+havre+2011,3
242743,soloalbum+2003,2
537917,the+grump+2014,4
161594,enter+the+void+2009,3
581516,before+the+devil+knows+youre+dead+2007,4
576690,comet+2014,3
374287,steve+jobs+the+lost+interview+2012,4
478447,fracture+2007,5
183292,bloodfist+1989,4
381231,harry+potter+and+the+half-blood+prince+2009,4
7305,too+big+to+fail+2011,3
6903,someone+to+watch+over+me+1987,4
249486,spirited+away+2001,4
179482,persepolis+2007,4
173890,monkeys+teeth+1960,4
453019,conspiracy+theory+1997,4
487828,frankenstein+1931,5
404043,luther+2003,4
505907,appropriate+adult+2011,3
187491,gladiator+2000,4
209963,guardians+of+the+galaxy+2014,4
199500,im+gonna+git+you+sucka+1988,4
330941,the+babe+ruth+story+1948,4
203910,goodfellas+1990,4
57121,fantastic+mr.+fox+2009,5
41421,charlie+chan+at+the+opera+1936,3
60838,in+the+name+of+the+king+2+two+worlds+2011,3
467563,innocent+lies+1995,3
453737,the+prize+winner+of+defiance_+ohio+2005,4
444381,waiting+for+superman+2010,4
144277,the+mother+2003,3
391725,winter+kills+1979,4
100443,disco+and+atomic+war+2009,3
513443,grease+1978,4
549085,mansfield+park+1999,3
516212,cze_+tereska+2001,3
248207,brotherhood+of+death+1976,4
188555,ice+age+continental+drift+2012,3
62843,citizenfour+2014,4
416998,the+shawshank+redemption+1994,4
122159,iron+man+2008,5
326239,the+avengers+2012,4
30834,the+infidel+2009,3
48893,the+kid+brother+1927,4
507075,monty+python+and+the+holy+grail+1975,5
271879,tales+of+terror+from+tokyo+and+all+over+japan+the+movie+2004,4
201039,the+sugarland+express+1974,3
221534,loudquietloud+a+film+about+the+pixies+2006,3
