user_id,movie_id,rate
255551,one+hundred+and+one+dalmatians+1961,3
113286,fail+safe+2000,4
649720,my+fathers+glory+1990,4
379196,antiviral+2012,4
25646,a+day+at+the+races+1937,5
499148,finding+nemo+2003,4
439638,what+have+i+done+to+deserve+this+1984,3
142011,upperworld+1934,3
542683,seven+samurai+1954,5
466489,california+split+1974,3
466043,a+day+in+the+country+1936,4
468665,crime+and+punishment+2002,3
228074,a+walk+in+the+old+city+of+warsaw+1958,2
415986,so+i+married+an+axe+murderer+1993,4
53465,this+aint+california+2012,5
647600,the+past+2013,4
639839,true+story+2015,3
629106,it+follows+2015,4
543843,kundun+1997,3
451446,candleshoe+1977,3
128166,pusher+1996,4
353918,the+world+according+to+sesame+street+2006,4
561299,hair+1979,3
61886,joy+division+2007,4
472271,the+mask+1994,4
330759,out+of+the+clear+blue+sky+2012,3
522578,huset+vid+vgens+nde+2003,3
163681,the+resurrected+1991,3
423131,my+neighbor+totoro+1988,5
180658,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
577575,the+baytown+outlaws+2012,2
486753,if+you+only+knew+2000,4
113100,the+cat+returns+2002,5
447413,star+wars+1977,5
587090,geronimo+an+american+legend+1993,3
86510,airplane+1980,4
431980,the+secret+world+of+arrietty+2010,3
328776,trespassing+2004,3
391980,the+mirror+crackd+1980,3
347449,the+sword+in+the+stone+1963,3
239080,never+talk+to+strangers+1995,2
449522,employees+entrance+1933,4
17829,women+in+love+1969,5
40131,time+in+the+minors+2010,4
443242,coraline+2009,4
198536,aliens+1986,3
568509,dumbo+1941,3
638016,charlie+chan+at+the+opera+1936,4
628205,view+from+the+top+2003,3
584044,failure+to+launch+2006,5
465228,the+square+2013,4
27143,penn++teller+get+killed+1989,4
218592,tears+of+steel+2012,3
263713,the+eye+above+the+well+1988,4
22300,dantes+inferno+an+animated+epic+2010,4
255023,open+your+eyes+1997,4
500212,galaxy+quest+1999,4
547443,carmen+1984,4
512317,real+women+have+curves+2002,2
336277,maleficent+2014,3
582159,harvest+3_000+years+1976,4
617252,apollo+13+1995,4
211641,avatar+2009,4
241268,terminator+salvation+2009,3
26160,battle+royale+2000,5
380415,the+desperado+trail+1965,3
574899,lady+and+the+tramp+ii+scamps+adventure+2001,3
407232,7+plus+seven+1970,5
404011,the+grey+fox+1982,4
78881,strait-jacket+1964,3
324202,dawn+of+the+dead+2004,4
544480,constantine+2005,3
369372,there+will+be+blood+2007,4
431120,the+last+american+hero+1973,5
197687,the+caiman+2006,2
645523,iron+man+3+2013,5
67322,the+crippled+masters+1979,2
575518,star+wars+1977,3
191753,sister+helen+2002,5
557722,cult+of+the+cobra+1955,5
628203,my+name+is+juani+2006,3
580486,birdsong+2008,4
285382,conflagration+1958,3
607192,cold+prey+ii+2008,4
461755,helter+skelter+1976,3
530652,the+imitation+game+2014,4
648929,the+red+baron+2008,3
327102,watchmen+2009,4
377566,dragon+ball+z+coolers+revenge+1991,3
538358,directed+by+john+ford+1971,4
541380,my+father+the+hero+1991,2
488166,the+shawshank+redemption+1994,3
621149,snow+white+and+the+seven+dwarfs+1937,4
550715,the+100+year-old+man+who+climbed+out+the+window+and+disappeared+2013,3
361454,seven+years+bad+luck+1921,4
232950,high+noon+2009,4
608499,something+in+the+wind+1947,3
640130,quantum+of+solace+2008,4
591010,raging+bull+1980,5
238387,blade+runner+1982,5
170322,deadly+prey+1987,4
55776,back+to+the+future+1985,5
160106,the+city+1999,3
107377,bound+for+glory+1976,4
445107,the+calling+2014,5
218786,i_+robot+2004,5
531666,symbiopsychotaxiplasm+take+one+1968,4
383974,young+detective+dee+rise+of+the+sea+dragon+2013,3
172107,the+curiosity+of+chance+2006,4
414784,st.+george+shoots+the+dragon+2009,4
408112,arsne+lupin+1932,3
447785,greystone+park+2012,4
469845,monsters_+inc.+2001,3
445465,the+illusionist+2006,4
553704,the+jungle+book+1967,5
307826,male+and+female+1919,3
128573,snow+white+and+the+seven+dwarfs+1937,4
332616,forrest+gump+1994,5
525537,nothing+but+the+truth+2008,3
602861,the+door+in+the+floor+2004,3
645724,murderball+2005,4
227097,lotto+land+1995,2
270064,across+the+wide+missouri+1951,5
492411,thanks+for+sharing+2012,3
362681,a+date+with+judy+1948,3
358248,for+ever+mozart+1996,3
512209,girls+will+be+girls+2003,3
476696,mccabe++mrs.+miller+1971,4
623094,the+incredible+hulk+2008,3
205042,harry+potter+and+the+deathly+hallows+part+1+2010,4
407740,pathfinder+2007,3
460357,the+alligator+people+1959,2
584310,too+many+cooks+2014,2
431014,a+tale+of+two+sisters+2003,5
42967,leon+the+professional+1994,4
167924,season+of+monsters+1987,4
476684,aliens+1986,4
233906,raise+the+red+lantern+1991,4
550719,the+minion+1998,2
334550,police+academy+3+back+in+training+1986,4
160847,little+miss+marker+1980,4
207511,reincarnation+2005,3
82434,tender+comrade+1943,3
604546,lone+wolf+and+cub+baby+cart+to+hades+1972,4
381277,wrong+2012,3
153589,caged+1950,4
105360,willy+wonka++the+chocolate+factory+1971,3
319878,ice+quake+2010,3
236561,deadly+friend+1986,3
78411,the+unforgiven+1960,3
530463,black+sea+2014,3
645317,scarface+1983,4
256941,revenge+of+the+electric+car+2011,3
417491,up+in+the+wind+2013,4
559421,pat+garrett++billy+the+kid+1973,3
434868,lucky+2010,3
580501,infection+2004,4
258748,house+of+flying+daggers+2004,3
436081,inception+2010,4
599415,eight+iron+men+1952,3
65096,it+came+from+beneath+the+sea+1955,2
579958,frozen+2013,3
325773,different+for+girls+1996,4
282767,waiting+for+superman+2010,4
183403,the+sweet+hereafter+1997,5
74189,the+dying+swan+1917,5
121802,gay+purr-ee+1962,4
270689,2+days+in+paris+2007,4
221603,ponyo+2008,4
295919,the+great+raid+2005,5
396597,wolfen+1981,3
207896,lucky+2010,4
450634,indiana+jones+and+the+temple+of+doom+1984,5
50360,the+shawshank+redemption+1994,5
400343,boys+life+three+stories+of+love_+lust_+and+liberation+1994,5
556893,constantine+2005,4
449762,gone+girl+2014,3
349640,awake+2007,3
288478,padre+padrone+1977,4
514245,gaslight+1944,4
257566,anastasia+1997,4
607221,do+fish+do+it+2002,4
123910,bad+taste+1987,3
223019,life+and+debt+2003,5
381903,whos+afraid+of+virginia+woolf+1966,5
250947,the+discreet+charm+of+the+bourgeoisie+1972,2
520172,entranced+earth+1967,4
481993,dragon+ball+z+broly+-+second+coming+1994,3
401420,mister+johnson+1990,4
2834,cobain+montage+of+heck+2015,4
392653,high+fidelity+2000,4
610975,la+haine+1995,4
255898,castle+in+the+sky+1986,4
474547,the+forgotten+space+2010,3
434478,a+movie+1958,4
55410,whisper+of+the+heart+1995,4
414430,knute+rockne+all+american+1940,4
190333,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
460916,raiders+of+the+lost+ark+1981,5
14947,spontaneous+combustion+1990,3
106166,stay+hungry+1976,4
443843,see+heaven+1995,4
152828,star+wars+episode+iii+-+revenge+of+the+sith+2005,3
629082,three+fugitives+1989,2
331843,bridget+jones+the+edge+of+reason+2004,5
237405,witchs+night+out+1978,3
554234,mouth+to+mouth+1995,3
605721,summer+with+monika+1953,5
251790,the+tale+of+zatichi+1962,3
340930,jamaica+inn+1939,4
304771,the+fifth+element+1997,3
572031,only+daughter+2013,3
371066,lackawanna+blues+2005,4
41379,united+states+of+secrets+part+one+the+program+2014,3
93178,harry+potter+and+the+order+of+the+phoenix+2007,4
531588,lucky+star+1929,4
378195,howls+moving+castle+2004,4
279382,shottas+2002,4
545690,iron+man+2008,4
356993,shermans+march+1985,4
185136,boys+dont+cry+1999,3
507520,the+lone+wolf+spy+hunt+1939,4
430475,the+amazing+spider-man+2012,3
296419,the+crowd+roars+1932,4
379355,the+humanoid+1979,3
438284,flirt+1995,3
564201,the+terminator+1984,4
319372,butch+cassidy+and+the+sundance+kid+1969,4
575364,ong+bak+2+2008,3
503390,brave+2012,3
445742,i_+robot+2004,4
333313,the+magnificent+seven+1960,3
151458,the+hard+corps+2006,3
280266,after+hours+1985,4
291311,alyce+kills+2011,4
444299,kronks+new+groove+2005,3
17727,bad+blood+a+cautionary+tale+2010,4
650550,the+princess+and+the+frog+2009,4
346686,anna+and+the+king+1999,4
556000,swept+away+1974,3
258974,memorial+day+2011,4
210015,xtro+2+the+second+encounter+1990,3
289979,the+music+room+1958,5
394256,come+early+morning+2006,2
253497,green+street+hooligans+2005,4
292566,spider-man+2+2004,3
377860,vampires+kiss+1988,3
24961,tully+2000,3
556865,possession+2009,3
454040,heavy+metal+parking+lot+1986,3
98107,when+marnie+was+there+2014,4
35496,the+dam+busters+1955,5
27154,toy+story+1995,4
620474,whisper+of+the+heart+1995,4
208789,hamlet+goes+business+1987,4
485928,brother+1997,3
481883,hackers+1995,3
529494,layer+cake+2004,4
417037,charlie+and+the+chocolate+factory+2005,4
