user_id,age,occupation,gender
1,34,sales/marketing,M
5,26,scientist,M
7,31,sales/marketing,M
9,24,college/grad student,M
10,38,executive/managerial,M
11,29,artist,M
14,18,self-employed,F
15,25,college/grad student,M
19,25,college/grad student,M
20,31,other or not specified,M
21,30,scientist,M
23,30,college/grad student,M
24,31,sales/marketing,M
25,33,scientist,M
26,33,other or not specified,M
27,28,academic/educator,M
30,27,executive/managerial,M
31,31,K-12 student,M
32,29,executive/managerial,M
36,25,other or not specified,M
37,32,executive/managerial,M
38,34,executive/managerial,M
39,25,tradesman/craftsman,M
41,30,college/grad student,F
42,31,college/grad student,M
43,33,scientist,F
46,30,college/grad student,M
47,26,self-employed,M
51,28,executive/managerial,M
52,38,executive/managerial,M
54,26,sales/marketing,M
55,24,executive/managerial,M
56,32,self-employed,M
61,29,unemployed,M
62,26,college/grad student,M
65,26,college/grad student,M
67,31,self-employed,M
69,18,sales/marketing,M
75,31,executive/managerial,M
77,18,K-12 student,M
80,26,college/grad student,F
81,27,executive/managerial,M
83,27,other or not specified,M
88,26,scientist,M
89,28,college/grad student,M
100,27,college/grad student,M
101,31,college/grad student,M
104,34,clerical/admin,F
108,33,executive/managerial,M
109,31,K-12 student,F
110,31,self-employed,M
112,26,college/grad student,F
113,33,college/grad student,F
115,34,college/grad student,M
116,27,sales/marketing,M
117,27,executive/managerial,M
118,30,executive/managerial,M
119,33,college/grad student,M
120,25,academic/educator,M
122,75,academic/educator,F
123,28,other or not specified,M
125,21,technician/engineer,M
127,33,college/grad student,M
129,10,K-12 student,F
132,25,sales/marketing,M
134,28,sales/marketing,M
137,20,sales/marketing,M
138,32,college/grad student,F
141,33,college/grad student,F
142,28,executive/managerial,M
143,33,college/grad student,M
144,26,executive/managerial,M
145,28,other or not specified,F
146,32,college/grad student,M
147,20,sales/marketing,M
148,29,scientist,F
150,26,retired,M
151,28,executive/managerial,M
152,24,scientist,M
153,32,self-employed,M
154,24,college/grad student,M
155,28,other or not specified,M
158,29,homemaker,M
159,29,college/grad student,M
160,31,executive/managerial,M
161,26,college/grad student,M
166,44,executive/managerial,M
167,25,self-employed,M
169,41,self-employed,M
170,30,sales/marketing,M
171,29,college/grad student,M
174,26,executive/managerial,M
178,56,executive/managerial,F
179,28,college/grad student,M
180,20,college/grad student,M
181,29,college/grad student,M
182,29,college/grad student,M
184,32,executive/managerial,M
185,25,college/grad student,M
186,25,self-employed,M
187,27,executive/managerial,M
188,30,executive/managerial,M
190,33,scientist,M
191,24,tradesman/craftsman,M
193,30,executive/managerial,M
196,27,retired,M
198,28,executive/managerial,M
201,28,self-employed,M
202,31,executive/managerial,M
205,32,sales/marketing,M
207,26,college/grad student,M
